time,wx,wy,wz
7.436,0.00,0.00,-0.00
7.446,0.01,0.00,-0.00
7.456,0.01,0.00,-0.00
7.466,0.01,-0.00,-0.00
7.476,0.01,-0.00,-0.00
7.486,0.01,-0.00,-0.00
7.496,0.01,-0.00,-0.00
7.506,0.00,-0.00,0.00
7.516,-0.00,0.00,-0.00
7.526,-0.01,0.00,0.00
7.536,-0.01,0.00,0.00
7.546,-0.01,0.00,0.00
7.556,-0.01,0.00,0.00
7.566,-0.02,0.01,-0.00
7.576,-0.02,0.00,0.00
7.586,-0.01,0.01,0.00
7.596,-0.00,0.00,-0.00
7.606,0.00,0.00,-0.00
7.616,0.00,0.00,-0.00
7.626,0.00,-0.00,-0.00
7.636,0.00,0.00,0.00
7.646,0.01,0.00,0.00
7.656,0.01,0.01,0.00
7.666,0.01,0.00,-0.00
7.676,0.00,0.00,-0.00
7.686,0.00,0.00,-0.00
7.696,0.00,0.00,-0.00
7.706,0.00,0.00,-0.01
7.716,-0.00,0.00,-0.01
7.726,-0.00,0.00,-0.01
7.736,-0.00,0.00,-0.01
7.745,-0.00,0.00,-0.01
7.756,-0.00,0.01,-0.01
7.765,-0.00,0.01,-0.00
7.776,-0.01,0.01,-0.00
7.785,-0.01,0.00,-0.00
7.795,-0.01,0.00,-0.00
7.805,-0.01,0.00,-0.00
7.815,-0.01,-0.00,-0.00
7.825,-0.00,0.00,-0.00
7.835,0.00,0.00,-0.00
7.845,0.00,0.00,-0.00
7.855,0.01,0.00,-0.00
7.865,0.00,0.00,-0.00
7.875,0.00,0.00,-0.00
7.885,0.00,0.00,-0.00
7.895,0.00,0.00,-0.00
7.905,-0.00,0.00,-0.00
7.915,-0.01,0.00,-0.00
7.925,-0.01,0.00,-0.00
7.935,-0.01,0.00,-0.00
7.945,-0.01,0.00,-0.00
7.955,-0.01,0.00,0.00
7.965,-0.01,0.00,-0.00
7.975,-0.01,0.00,-0.00
7.985,-0.01,0.00,-0.00
